 #    Vel    Head    X    Y      Vel Head X Y
  64,   109.51,   0.03, 115.25,  31.92,   91.80,   0.03, 116.05,   7.93
  65,   105.41,   0.02, 117.36,  31.98,   87.90,   0.02, 117.81,   7.98
  66,   101.26,   0.00, 119.39,  32.00,   84.05,   0.00, 119.49,   8.00
  67,    91.29,   0.00, 121.21,  32.00,   86.00,   0.00, 121.21,   8.00
  68,    84.66,   0.00, 122.90,  32.00,   84.66,   0.00, 122.90,   8.00
  69,    80.66,   0.00, 124.52,  32.00,   80.66,   0.00, 124.52,   8.00
  70,    76.66,   0.00, 126.05,  32.00,   76.66,   0.00, 126.05,   8.00
  71,    72.66,   0.00, 127.50,  32.00,   72.66,   0.00, 127.50,   8.00
  72,    68.66,   0.00, 128.88,  32.00,   68.66,   0.00, 128.88,   8.00
  73,    64.66,   0.00, 130.17,  32.00,   64.66,   0.00, 130.17,   8.00
  74,    60.66,   0.00, 131.38,  32.00,   60.66,   0.00, 131.38,   8.00
  75,    56.66,   0.00, 132.52,  32.00,   56.66,   0.00, 132.52,   8.00
  76,    52.66,   0.00, 133.57,  32.00,   52.66,   0.00, 133.57,   8.00
  77,    48.66,   0.00, 134.54,  32.00,   48.66,   0.00, 134.54,   8.00
  78,    44.66,   0.00, 135.44,  32.00,   44.66,   0.00, 135.44,   8.00
  79,    40.66,   0.00, 136.25,  32.00,   40.66,   0.00, 136.25,   8.00
  80,    36.66,   0.00, 136.98,  32.00,   36.66,   0.00, 136.98,   8.00
  81,    32.66,   0.00, 137.64,  32.00,   32.66,   0.00, 137.64,   8.00
  82,    28.66,   0.00, 138.21,  32.00,   28.66,   0.00, 138.21,   8.00
  83,    24.66,   0.00, 138.70,  32.00,   24.66,   0.00, 138.70,   8.00
  84,    20.66,   0.00, 139.11,  32.00,   20.66,   0.00, 139.11,   8.00
  85,    16.66,   0.00, 139.45,  32.00,   16.66,   0.00, 139.45,   8.00
  86,    12.66,   0.00, 139.70,  32.00,   12.66,   0.00, 139.70,   8.00
  87,     8.66,   0.00, 139.87,  32.00,    8.66,   0.00, 139.87,   8.00
  88,     4.66,   0.00, 139.97,  32.00,    4.66,   0.00, 139.97,   8.00
  89,     1.49,   0.00, 140.00,  32.00,    1.49,   0.00, 140.00,   8.00
  90,     0.16,   0.00, 140.00,  32.00,    0.16,   0.00, 140.00,   8.00
  91,     0.00,   0.00, 140.00,  32.00,    0.00,   0.00, 140.00,   8.00
