Drive.left_vel, Drive.right_vel, time, Drive.left_voltage, Drive.right_voltage
963, 1010, 1700.5100000000004, 4.843548387096774, 4.843548387096774
988, 1038, 1720.7150000000001, 4.9, 4.878787878787879
992, 1053, 1740.5290000000005, 4.956451612903226, 4.934995112414468
1001, 1076, 1760.6660000000006, 5.024193548387097, 5.002443792766374
1009, 1104, 1780.595, 5.080645161290323, 5.058651026392962
1016, 1107, 1800.5729999999999, 5.137096774193549, 5.114858260019551
1027, 1112, 1820.6310000000005, 5.193548387096774, 5.171065493646139
1048, 1129, 1840.7489999999998, 5.25, 5.2272727272727275
1075, 1149, 1860.671, 5.306451612903226, 5.2834799608993155
1102, 1162, 1880.535, 5.316471163245356, 5.293255131964809
1126, 1189, 1900.6629999999998, 5.372434017595308, 5.348973607038124
1134, 1215, 1920.8629999999998, 5.428396871945259, 5.4046920821114375
1158, 1236, 1940.5489999999998, 5.4955522971652, 5.471554252199414
1169, 1246, 1960.7510000000002, 5.551515151515152, 5.527272727272727
1189, 1251, 1980.5520000000004, 5.607478005865103, 5.582991202346041
1213, 1260, 2000.5410000000002, 5.663440860215053, 5.638709677419355
1253, 1272, 2020.2030000000004, 5.719403714565004, 5.6944281524926685
1274, 1294, 2040.198, 5.6944281524926685, 5.669452590420333
1296, 1317, 2060.198, 5.6944281524926685, 5.669452590420333
1299, 1346, 2080.2260000000006, 5.6944281524926685, 5.669452590420333
1307, 1367, 2100.1710000000003, 5.6944281524926685, 5.669452590420333
1301, 1382, 2120.514, 5.6944281524926685, 5.669452590420333
1304, 1385, 2140.137, 5.6944281524926685, 5.669452590420333
1313, 1396, 2160.1740000000004, 5.6944281524926685, 5.669452590420333
1329, 1409, 2180.148, 5.6944281524926685, 5.669452590420333
1335, 1429, 2200.1550000000007, 5.744379276637341, 5.744379276637341
1345, 1447, 2220.1659999999997, 5.744379276637341, 5.744379276637341
1359, 1469, 2240.2950000000005, 5.744379276637341, 5.744379276637341
1366, 1473, 2260.1900000000005, 5.744379276637341, 5.744379276637341
1376, 1470, 2280.1710000000003, 5.744379276637341, 5.744379276637341
1388, 1466, 2300.178, 5.744379276637341, 5.744379276637341
1395, 1472, 2320.1730000000007, 5.744379276637341, 5.744379276637341
1403, 1476, 2340.1969999999997, 5.744379276637341, 5.744379276637341
