Drive.left_vel, Drive.right_vel, time, Drive.left_voltage, Drive.right_voltage
0, 0, 3.115000000001089, 0.0, 0.0
0, 0, 22.222999999996773, 0.0, 0.0
0, 0, 42.07099999999997, 0.0, 0.0
0, 0, 60.957000000001926, 0.0, 0.0
0, 0, 81.58499999999691, 0.0, 0.0
0, 0, 101.95799999999622, 0.0, 0.0
0, 0, 121.88599999999639, 0.0, 0.0
0, 0, 142.277, 0.0, 0.0
0, 0, 161.78399999999726, 0.0, 0.0
0, 0, 181.9759999999988, 0.0, 0.0
0, 0, 201.97999999999894, 0.0, 0.0
0, 0, 222.16499999999684, 0.0, 0.0
0, 0, 241.88099999999935, 0.0, 0.0
0, 0, 260.8449999999962, 0.0, 0.0
0, 0, 282.51900000000063, 0.0, 0.0
0, 0, 302.2179999999963, 0.0, 0.0
0, 0, 321.03999999999644, 0.0, 0.0
0, 0, 342.9909999999978, 0.0, 0.0
0, 0, 362.05900000000213, 0.0, 0.0
0, 0, 382.4639999999988, 0.0, 0.0
0, 0, 401.68800000000005, 0.0, 0.0
0, 0, 420.98800000000125, 0.0, 0.0
0, 0, 440.97599999999915, 0.0, 0.0
0, 0, 462.16299999999677, 0.0, 0.0
0, 0, 482.33599999999655, 0.0, 0.0
0, 0, 502.0939999999996, 0.0, 0.0
0, 0, 523.0309999999961, 0.0, 0.0
0, 0, 542.2689999999975, 0.0, 0.0
0, 0, 563.1219999999998, 0.0, 0.0
0, 0, 581.8060000000003, 0.0, 0.0
0, 0, 602.5679999999979, 0.0, 0.0
0, 0, 622.6709999999969, 0.0, 0.0
0, 0, 642.862000000001, 0.0, 0.0
0, 0, 662.0169999999987, 0.0, 0.0
0, 0, 681.0309999999972, 0.0, 0.0
0, 0, 702.2929999999974, 0.0, 0.0
0, 0, 721.9249999999988, 0.0, 0.0
0, 0, 742.0630000000017, 0.0, 0.0
0, 0, 762.1699999999976, 0.0, 0.0
0, 0, 781.7250000000015, 0.0, 0.0
0, 0, 801.9069999999999, 0.0, 0.0
0, 0, 821.7379999999963, 0.0, 0.0
0, 0, 841.9469999999976, 0.4989736070381232, 0.5009775171065494
0, 0, 862.1479999999976, 0.5111436950146627, 0.5131964809384164
0, 0, 882.647999999996, 0.5233137829912023, 0.5254154447702835
0, 0, 901.8629999999987, 0.5476539589442816, 0.5498533724340177
0, 0, 922.2529999999978, 0.5598240469208212, 0.5620723362658847
0, 0, 941.3520000000019, 0.5719941348973607, 0.5742913000977518
0, 0, 961.9280000000003, 0.5841642228739004, 0.5865102639296188
0, 0, 983.2889999999992, 0.59633431085044, 0.5987292277614858
0, 0, 1002.395, 0.6085043988269795, 0.6109481915933529
0, 0, 1022.2669999999994, 0.6206744868035191, 0.6231671554252199
0, 0, 1042.2530000000024, 0.6328445747800586, 0.635386119257087
0, 0, 1061.762999999999, 0.6424242424242425, 0.6450146627565984
0, 0, 1081.859999999999, 0.6545454545454545, 0.6571847507331379
0, 0, 1102.378999999999, 0.6666666666666667, 0.6693548387096775
0, 0, 1121.741, 0.6787878787878788, 0.6815249266862171
0, 0, 1141.6710000000023, 0.6909090909090909, 0.6936950146627566
0, 0, 1161.4599999999982, 0.703030303030303, 0.7058651026392962
0, 0, 1182.6930000000004, 0.7151515151515151, 0.7180351906158358
0, 0, 1201.8210000000024, 0.7272727272727273, 0.7302052785923755
0, 0, 1222.0390000000023, 0.7393939393939395, 0.742375366568915
0, 0, 1240.7869999999975, 0.7515151515151516, 0.7545454545454546
0, 0, 1262.3340000000028, 0.7636363636363637, 0.7667155425219943
5, 0, 1282.3039999999964, 0.7757575757575758, 0.7788856304985338
16, 0, 1302.3939999999996, 0.7878787878787878, 0.7910557184750734
30, 0, 1322.5139999999983, 0.8, 0.8032258064516129
45, 0, 1342.2240000000015, 0.8121212121212121, 0.8153958944281525
60, 0, 1362.4069999999974, 0.8242424242424242, 0.8275659824046921
71, 0, 1382.2589999999977, 0.8363636363636363, 0.8397360703812317
78, 0, 1401.2829999999994, 0.8484848484848484, 0.8519061583577713
83, 0, 1422.4049999999977, 0.8606060606060606, 0.8640762463343108
86, 0, 1442.8119999999965, 0.8727272727272727, 0.8762463343108504
91, 0, 1461.9629999999972, 0.884848484848485, 0.8884164222873902
94, 11, 1482.2830000000024, 0.8969696969696971, 0.9005865102639298
96, 26, 1500.8599999999958, 0.9090909090909092, 0.9127565982404693
98, 44, 1521.473999999998, 0.9212121212121213, 0.9249266862170089
103, 64, 1540.9599999999982, 0.9333333333333333, 0.9370967741935485
105, 85, 1561.8199999999974, 0.9454545454545455, 0.949266862170088
108, 95, 1581.8060000000003, 0.9575757575757576, 0.9614369501466277
111, 101, 1602.0830000000003, 0.9696969696969697, 0.9736070381231673
114, 104, 1622.197, 0.9818181818181818, 0.9857771260997068
115, 107, 1642.6579999999972, 0.9939393939393939, 0.9979472140762464
119, 107, 1662.0050000000006, 1.006060606060606, 1.010117302052786
123, 111, 1681.511999999998, 1.018181818181818, 1.0222873900293254
128, 114, 1700.9109999999978, 1.0303030303030303, 1.034457478005865
132, 118, 1721.3599999999972, 1.0424242424242425, 1.0466275659824047
137, 121, 1741.7499999999961, 1.0545454545454545, 1.0587976539589443
140, 128, 1762.3510000000024, 1.0787878787878789, 1.0831378299120236
143, 133, 1781.3939999999989, 1.090909090909091, 1.0953079178885632
145, 138, 1800.8329999999974, 1.103030303030303, 1.1074780058651028
146, 140, 1821.8869999999968, 1.1151515151515152, 1.1196480938416424
146, 141, 1841.3910000000014, 1.1272727272727274, 1.131818181818182
