Drive.left_vel, Drive.right_vel, time, Drive.left_voltage, Drive.right_voltage
0, 0, 7.10199999999972, 0.0, 0.0
0, 0, 31.05899999999906, 0.0, 0.0
0, 0, 40.87400000000052, 0.0, 0.0
0, 0, 60.696999999999335, 0.0, 0.0
0, 0, 80.64500000000052, 0.0, 0.0
0, 0, 100.69200000000045, 0.0, 0.0
0, 0, 120.91700000000039, 0.0, 0.0
0, 0, 140.66000000000045, 0.0, 0.0
0, 0, 161.05699999999956, 0.0, 0.0
0, 0, 180.70499999999967, 0.0, 0.0
0, 0, 200.68399999999897, 0.0, 0.0
0, 0, 220.74199999999956, 0.0, 0.0
0, 0, 240.65199999999896, 0.0, 0.0
0, 0, 260.67899999999963, 0.0, 0.0
0, 0, 280.65999999999923, 0.0, 0.0
0, 0, 300.7749999999998, 0.0, 0.0
0, 0, 320.6509999999998, 0.0, 0.0
0, 0, 340.72800000000035, 0.0, 0.0
0, 0, 360.65799999999905, 0.0, 0.0
0, 0, 380.72900000000055, 0.0, 0.0
0, 0, 400.80500000000006, 0.0, 0.0
0, 0, 420.6719999999997, 0.0, 0.0
0, 0, 440.95699999999914, 0.0, 0.0
0, 0, 460.89399999999966, 0.0, 0.0
0, 0, 480.9570000000001, 0.0, 0.0
0, 0, 501.0779999999997, 0.0, 0.0
0, 0, 520.6400000000002, 0.0, 0.0
0, 0, 540.6789999999991, 0.0, 0.0
0, 0, 560.7539999999993, 0.0, 0.0
0, 0, 580.6839999999997, 0.0, 0.0
0, 0, 600.7859999999994, 0.0, 0.0
0, 0, 620.6680000000002, 0.0, 0.0
0, 0, 640.6229999999997, 0.0, 0.0
0, 0, 660.6760000000005, 0.0, 0.0
0, 0, 680.688, 0.0, 0.0
0, 0, 701.1470000000006, 0.0, 0.0
0, 0, 720.642999999999, 0.0, 0.0
0, 0, 740.651999999999, 0.0, 0.0
0, 0, 760.6979999999996, 0.0, 0.0
0, 0, 780.9889999999999, 0.0, 0.0
0, 0, 800.7519999999993, 0.0, 0.0
0, 0, 820.6439999999997, 0.0, 0.0
0, 0, 840.6679999999991, 0.49696969696969695, 0.4989736070381232
0, 0, 860.6239999999996, 0.509090909090909, 0.5111436950146627
0, 0, 880.7290000000005, 0.5212121212121212, 0.5233137829912023
3, 0, 900.703, 0.5454545454545455, 0.5476539589442816
8, 0, 920.6690000000002, 0.5575757575757576, 0.5598240469208212
9, 3, 940.6470000000003, 0.5696969696969697, 0.5719941348973607
9, 8, 960.6999999999992, 0.5818181818181818, 0.5841642228739004
9, 12, 980.9819999999992, 0.593939393939394, 0.59633431085044
6, 18, 1001.0010000000004, 0.6060606060606061, 0.6085043988269795
1, 24, 1020.6409999999995, 0.6181818181818182, 0.6181818181818182
